question,gold_answer,chunking_strategy,recall_at_k,precision_at_k,hit_rate,retrieval_latency_sec
What type of education group is Amity Education Group?,one of India's leading private non-profit education groups,fixed,0.0,0.0,0.0,0.1885
From which level to which level does Amity offer education?,right from pre-school to post-doctoral level,fixed,0.0,0.0,0.0,0.0084
How many students does Amity have?,"over 2,00,000 students",fixed,0.0,0.0,0.0,0.0111
How many alumni are part of Amity Education Group?,"7,00,000 alumni",fixed,0.0,0.0,0.0,0.0094
How many faculty members and scientists does Amity have?,"6,000 faculty members and scientists",fixed,0.0,0.0,0.0,0.0094
How many universities does Amity operate in India?,12 Universities,fixed,1.0,0.2,1.0,0.0079
Who is the Founder President of Amity Education Group?,Dr. Ashok K. Chauhan,fixed,1.0,0.2,1.0,0.0083
Who is the Chancellor of Amity University?,Dr. Atul Chauhan,fixed,1.0,0.2,1.0,0.0071
What education system does AUUP follow?,Fully Flexible Choice Based Credit System,fixed,1.0,0.4,1.0,0.0101
What does OBE stand for?,Outcome Based Education,fixed,1.0,0.2,1.0,0.0073
How long does each semester last?,15-18 weeks of teaching and learning,fixed,0.0,0.0,0.0,0.0059
What is a credit hour defined as?,one hour of instruction per week over the entire semester of minimum 15 weeks,fixed,0.0,0.0,0.0,0.0117
Which policy outlines key features for higher education in India?,National Education Policy 2020,fixed,1.0,0.2,1.0,0.0079
What is mandatory for all students under Academic Bank of Credits?,register for their ABC/APAAR ID,fixed,0.0,0.0,0.0,0.0075
How many credit units are offered for internship/apprenticeship?,20 credit units,fixed,1.0,0.2,1.0,0.0078
In which semesters is apprenticeship/internship offered?,5th & 6th semester,fixed,0.0,0.0,0.0,0.0075
Can students pursue two degrees simultaneously?,two academic programmes,fixed,0.0,0.0,0.0,0.007
At the end of which years can students exit a programme?,"1st Year, 2nd Year and 3rd Year",fixed,1.0,0.2,1.0,0.006
What is awarded after completion of one year of the programme?,undergraduate certificate,fixed,1.0,0.2,1.0,0.0099
Within how many years can a student re-enter after exit?,within a period of three years,fixed,1.0,0.2,1.0,0.006
What language credits must students opt for each semester?,02 credits,fixed,1.0,0.2,1.0,0.0067
What programme provides global exposure through international study?,Study Abroad Programme (SAP),fixed,0.0,0.0,0.0,0.0042
How many continents are covered under the 3C programme?,3 different continents,fixed,0.0,0.0,0.0,0.0092
What regulation governs examinations at AUUP?,Regulation R01,fixed,1.0,0.2,1.0,0.0064
What are the two main components of student evaluation?,Continuous Internal Assessment and End Semester Examinations,fixed,0.0,0.0,0.0,0.0112
What is the expected attendance percentage for students?,100% attendance,fixed,0.0,0.0,0.0,0.0086
What is the minimum attendance required to appear in End Semester Examination?,75%,fixed,0.0,0.0,0.0,0.0063
How many days of continuous absence leads to striking off a student’s name?,30 days,fixed,0.0,0.0,0.0,0.0084
What fee is charged for re-admission after name is struck off?,Rs. 15000/-,fixed,0.0,0.0,0.0,0.0105
What percentage relaxation in attendance may be allowed?,maximum 25%,fixed,0.0,0.0,0.0,0.0083
Who notifies the examination schedule?,Controller of Examinations,fixed,1.0,0.4,1.0,0.0094
What document is mandatory to appear in an examination?,valid Admit Card,fixed,1.0,0.2,1.0,0.0088
What is the fee for issuance of a Duplicate Admit Card?,"Rs. 1,000/-",fixed,0.0,0.0,0.0,0.0087
In which mode are examinations primarily conducted?,Physical Mode,fixed,1.0,0.2,1.0,0.0
What electronic devices are prohibited during examinations?,"mobile phone, smart watch, laptop or any electronic device",fixed,1.0,0.2,1.0,0.0125
Which grade indicates Outstanding performance?,A+,fixed,0.0,0.0,0.0,0.0083
What grade is awarded for Fail?,F,fixed,1.0,1.0,1.0,0.0071
What is the minimum SGPA required to pass an undergraduate certificate?,4.00,fixed,0.0,0.0,0.0,0.0062
What is the minimum CGPA required for First Division with Distinction in UG?,8.50 and above,fixed,0.0,0.0,0.0,0.0069
What is Amity University's approach to learning?,"multidisciplinary, holistic and inclusive education",fixed,0.0,0.0,0.0,0.0044
What kind of professionals does the curriculum aim to develop?,T-shaped Professionals,fixed,0.0,0.0,0.0,0.0107
Which regulatory bodies guide credit determination?,UGC / AICTE & other relevant Regulatory bodies,fixed,0.0,0.0,0.0,0.0078
What represents the quantum of syllabus in a course?,Credit,fixed,1.0,0.4,1.0,0.0103
What is the minimum teaching duration of a semester?,minimum of 15 weeks teaching,fixed,1.0,0.2,1.0,0.0087
How many assessment components are required for internal evaluation?,Minimum 3 assessment components,fixed,0.0,0.0,0.0,0.0101
What does NEP 2020 emphasize for higher education?,Multidisciplinary Approach,fixed,1.0,0.2,1.0,0.0091
What values must higher education develop according to NEP 2020?,ethical and Constitutional values,fixed,1.0,0.2,1.0,0.0069
What type of education integrates human values and service?,Value-based education,fixed,0.0,0.0,0.0,0.0053
Which universal values are included in value-based education?,"truth (satya), righteous conduct (dharma), peace (shanti), love (prem), nonviolence (ahimsa)",fixed,0.0,0.0,0.0,0.0091
What type of learning improves employability through practice?,internships/apprenticeship,fixed,0.0,0.0,0.0,0.0108
Which framework guides multidisciplinary education at AUUP?,UGC Curriculum and Credit Framework for Under Graduate Programmes,fixed,1.0,0.2,1.0,0.0081
What does ABC digitally store?,academic credits earned,fixed,1.0,0.2,1.0,0.0072
Can credits be transferred between institutions?,can be transferred / redeemed,fixed,1.0,0.2,1.0,0.0041
What is considered the most efficient structured training?,Apprenticeship/Internship,fixed,0.0,0.0,0.0,0.0063
Which skills are developed during apprenticeship?,"problem-solving, creative thinking, digital skills, teamwork",fixed,0.0,0.0,0.0,0.0056
Which modes are allowed for pursuing two degrees?,full-time physical mode and Open and Distance learning (ODL) or Online mode,fixed,0.0,0.0,0.0,0.0081
What must students submit to exit a programme?,an undertaking giving the reasons for exit,fixed,1.0,0.2,1.0,0.0068
What is compulsory during exit to re-enter later?,4-6 credits skills-enhancement course(s),fixed,0.0,0.0,0.0,0.0081
What is the maximum time to complete a four year degree after re-entry?,within the maximum period of seven years,fixed,1.0,0.2,1.0,0.0089
What does lateral entry not allow?,not be allowed in the first year,fixed,0.0,0.0,0.0,0.0065
Which courses develop social and ethical values?,Human Value & Community Outreach (HVCO),fixed,0.0,0.0,0.0,0.0035
Which course credits are excluded from SGPA and CGPA?,Progressive Value-Added Course,fixed,0.0,0.0,0.0,0.0113
