question,gold_answer,chunking_strategy,recall_at_k,precision_at_k,hit_rate,retrieval_latency_sec
What type of education group is Amity Education Group?,one of India's leading private non-profit education groups,semantic,1.0,0.2,1.0,0.0082
From which level to which level does Amity offer education?,right from pre-school to post-doctoral level,semantic,1.0,0.2,1.0,0.0091
How many students does Amity have?,"over 2,00,000 students",semantic,1.0,0.2,1.0,0.0038
How many alumni are part of Amity Education Group?,"7,00,000 alumni",semantic,1.0,0.2,1.0,0.0122
How many faculty members and scientists does Amity have?,"6,000 faculty members and scientists",semantic,0.0,0.0,0.0,0.0104
How many universities does Amity operate in India?,12 Universities,semantic,1.0,0.2,1.0,0.0098
Who is the Founder President of Amity Education Group?,Dr. Ashok K. Chauhan,semantic,0.0,0.0,0.0,0.0055
Who is the Chancellor of Amity University?,Dr. Atul Chauhan,semantic,0.0,0.0,0.0,0.0088
What education system does AUUP follow?,Fully Flexible Choice Based Credit System,semantic,0.0,0.0,0.0,0.0057
What does OBE stand for?,Outcome Based Education,semantic,0.0,0.0,0.0,0.0074
How long does each semester last?,15-18 weeks of teaching and learning,semantic,0.0,0.0,0.0,0.0121
What is a credit hour defined as?,one hour of instruction per week over the entire semester of minimum 15 weeks,semantic,0.0,0.0,0.0,0.0075
Which policy outlines key features for higher education in India?,National Education Policy 2020,semantic,1.0,0.4,1.0,0.0087
What is mandatory for all students under Academic Bank of Credits?,register for their ABC/APAAR ID,semantic,0.0,0.0,0.0,0.0087
How many credit units are offered for internship/apprenticeship?,20 credit units,semantic,0.0,0.0,0.0,0.005
In which semesters is apprenticeship/internship offered?,5th & 6th semester,semantic,0.0,0.0,0.0,0.0107
Can students pursue two degrees simultaneously?,two academic programmes,semantic,1.0,0.2,1.0,0.0083
At the end of which years can students exit a programme?,"1st Year, 2nd Year and 3rd Year",semantic,1.0,0.2,1.0,0.0082
What is awarded after completion of one year of the programme?,undergraduate certificate,semantic,1.0,0.2,1.0,0.0092
Within how many years can a student re-enter after exit?,within a period of three years,semantic,0.0,0.0,0.0,0.0049
What language credits must students opt for each semester?,02 credits,semantic,0.0,0.0,0.0,0.0063
What programme provides global exposure through international study?,Study Abroad Programme (SAP),semantic,0.0,0.0,0.0,0.0128
How many continents are covered under the 3C programme?,3 different continents,semantic,0.0,0.0,0.0,0.0062
What regulation governs examinations at AUUP?,Regulation R01,semantic,0.0,0.0,0.0,0.0073
What are the two main components of student evaluation?,Continuous Internal Assessment and End Semester Examinations,semantic,0.0,0.0,0.0,0.0069
What is the expected attendance percentage for students?,100% attendance,semantic,0.0,0.0,0.0,0.0057
What is the minimum attendance required to appear in End Semester Examination?,75%,semantic,1.0,0.4,1.0,0.0082
How many days of continuous absence leads to striking off a student’s name?,30 days,semantic,1.0,0.2,1.0,0.0038
What fee is charged for re-admission after name is struck off?,Rs. 15000/-,semantic,0.0,0.0,0.0,0.0135
What percentage relaxation in attendance may be allowed?,maximum 25%,semantic,0.0,0.0,0.0,0.0061
Who notifies the examination schedule?,Controller of Examinations,semantic,0.0,0.0,0.0,0.003
What document is mandatory to appear in an examination?,valid Admit Card,semantic,1.0,0.2,1.0,0.0056
What is the fee for issuance of a Duplicate Admit Card?,"Rs. 1,000/-",semantic,0.0,0.0,0.0,0.0085
In which mode are examinations primarily conducted?,Physical Mode,semantic,1.0,0.4,1.0,0.0063
What electronic devices are prohibited during examinations?,"mobile phone, smart watch, laptop or any electronic device",semantic,0.0,0.0,0.0,0.0087
Which grade indicates Outstanding performance?,A+,semantic,1.0,0.2,1.0,0.0089
What grade is awarded for Fail?,F,semantic,1.0,1.0,1.0,0.006
What is the minimum SGPA required to pass an undergraduate certificate?,4.00,semantic,1.0,0.4,1.0,0.0062
What is the minimum CGPA required for First Division with Distinction in UG?,8.50 and above,semantic,1.0,0.2,1.0,0.0061
What is Amity University's approach to learning?,"multidisciplinary, holistic and inclusive education",semantic,0.0,0.0,0.0,0.0085
What kind of professionals does the curriculum aim to develop?,T-shaped Professionals,semantic,0.0,0.0,0.0,0.0074
Which regulatory bodies guide credit determination?,UGC / AICTE & other relevant Regulatory bodies,semantic,0.0,0.0,0.0,0.0083
What represents the quantum of syllabus in a course?,Credit,semantic,1.0,0.2,1.0,0.0076
What is the minimum teaching duration of a semester?,minimum of 15 weeks teaching,semantic,1.0,0.2,1.0,0.0391
How many assessment components are required for internal evaluation?,Minimum 3 assessment components,semantic,0.0,0.0,0.0,0.011
What does NEP 2020 emphasize for higher education?,Multidisciplinary Approach,semantic,1.0,0.2,1.0,0.0091
What values must higher education develop according to NEP 2020?,ethical and Constitutional values,semantic,0.0,0.0,0.0,0.0064
What type of education integrates human values and service?,Value-based education,semantic,1.0,0.2,1.0,0.008
Which universal values are included in value-based education?,"truth (satya), righteous conduct (dharma), peace (shanti), love (prem), nonviolence (ahimsa)",semantic,0.0,0.0,0.0,0.0066
What type of learning improves employability through practice?,internships/apprenticeship,semantic,0.0,0.0,0.0,0.0023
Which framework guides multidisciplinary education at AUUP?,UGC Curriculum and Credit Framework for Under Graduate Programmes,semantic,0.0,0.0,0.0,0.0012
What does ABC digitally store?,academic credits earned,semantic,0.0,0.0,0.0,0.0089
Can credits be transferred between institutions?,can be transferred / redeemed,semantic,0.0,0.0,0.0,0.0063
What is considered the most efficient structured training?,Apprenticeship/Internship,semantic,0.0,0.0,0.0,0.0116
Which skills are developed during apprenticeship?,"problem-solving, creative thinking, digital skills, teamwork",semantic,0.0,0.0,0.0,0.0058
Which modes are allowed for pursuing two degrees?,full-time physical mode and Open and Distance learning (ODL) or Online mode,semantic,0.0,0.0,0.0,0.0103
What must students submit to exit a programme?,an undertaking giving the reasons for exit,semantic,0.0,0.0,0.0,0.0072
What is compulsory during exit to re-enter later?,4-6 credits skills-enhancement course(s),semantic,0.0,0.0,0.0,0.0098
What is the maximum time to complete a four year degree after re-entry?,within the maximum period of seven years,semantic,0.0,0.0,0.0,0.0067
What does lateral entry not allow?,not be allowed in the first year,semantic,0.0,0.0,0.0,0.0047
Which courses develop social and ethical values?,Human Value & Community Outreach (HVCO),semantic,1.0,0.2,1.0,0.0094
Which course credits are excluded from SGPA and CGPA?,Progressive Value-Added Course,semantic,0.0,0.0,0.0,0.0057
How is gender sensitization implemented?,amalgamation of theory and practice,semantic,0.0,0.0,0.0,0.0057
Which programme depends on MoUs with global universities?,Semester Abroad Programme,semantic,0.0,0.0,0.0,0.0083
Which countries are involved in the 3C Programme?,"Asia, Europe and America",semantic,0.0,0.0,0.0,0.0089
Who should students consult for international programme details?,Programme Leader/ Head of Institution,semantic,0.0,0.0,0.0,0.0072
Which calendar plans yearly academic activities?,Block Academic Calendar,semantic,1.0,0.6,1.0,0.005
