question,gold_answer,chunking_strategy,recall_at_k,precision_at_k,hit_rate,retrieval_latency_sec
What type of education group is Amity Education Group?,one of India's leading private non-profit education groups,sentence,1.0,0.2,1.0,0.0105
From which level to which level does Amity offer education?,right from pre-school to post-doctoral level,sentence,1.0,0.2,1.0,0.0091
How many students does Amity have?,"over 2,00,000 students",sentence,1.0,0.2,1.0,0.0059
How many alumni are part of Amity Education Group?,"7,00,000 alumni",sentence,1.0,0.2,1.0,0.0088
How many faculty members and scientists does Amity have?,"6,000 faculty members and scientists",sentence,1.0,0.2,1.0,0.0046
How many universities does Amity operate in India?,12 Universities,sentence,1.0,0.2,1.0,0.0072
Who is the Founder President of Amity Education Group?,Dr. Ashok K. Chauhan,sentence,1.0,0.2,1.0,0.008
Who is the Chancellor of Amity University?,Dr. Atul Chauhan,sentence,0.0,0.0,0.0,0.007
What education system does AUUP follow?,Fully Flexible Choice Based Credit System,sentence,1.0,0.2,1.0,0.0059
What does OBE stand for?,Outcome Based Education,sentence,1.0,0.2,1.0,0.0065
How long does each semester last?,15-18 weeks of teaching and learning,sentence,0.0,0.0,0.0,0.0073
What is a credit hour defined as?,one hour of instruction per week over the entire semester of minimum 15 weeks,sentence,0.0,0.0,0.0,0.0056
Which policy outlines key features for higher education in India?,National Education Policy 2020,sentence,1.0,0.2,1.0,0.0107
What is mandatory for all students under Academic Bank of Credits?,register for their ABC/APAAR ID,sentence,0.0,0.0,0.0,0.0087
How many credit units are offered for internship/apprenticeship?,20 credit units,sentence,0.0,0.0,0.0,0.0069
In which semesters is apprenticeship/internship offered?,5th & 6th semester,sentence,0.0,0.0,0.0,0.0065
Can students pursue two degrees simultaneously?,two academic programmes,sentence,1.0,0.2,1.0,0.0036
At the end of which years can students exit a programme?,"1st Year, 2nd Year and 3rd Year",sentence,0.0,0.0,0.0,0.0076
What is awarded after completion of one year of the programme?,undergraduate certificate,sentence,1.0,0.2,1.0,0.0072
Within how many years can a student re-enter after exit?,within a period of three years,sentence,1.0,0.2,1.0,0.0083
What language credits must students opt for each semester?,02 credits,sentence,1.0,0.2,1.0,0.0069
What programme provides global exposure through international study?,Study Abroad Programme (SAP),sentence,1.0,0.2,1.0,0.006
How many continents are covered under the 3C programme?,3 different continents,sentence,1.0,0.2,1.0,0.0064
What regulation governs examinations at AUUP?,Regulation R01,sentence,0.0,0.0,0.0,0.009
What are the two main components of student evaluation?,Continuous Internal Assessment and End Semester Examinations,sentence,0.0,0.0,0.0,0.0051
What is the expected attendance percentage for students?,100% attendance,sentence,0.0,0.0,0.0,0.007
What is the minimum attendance required to appear in End Semester Examination?,75%,sentence,1.0,0.4,1.0,0.0069
How many days of continuous absence leads to striking off a student’s name?,30 days,sentence,1.0,0.2,1.0,0.0072
What fee is charged for re-admission after name is struck off?,Rs. 15000/-,sentence,1.0,0.2,1.0,0.0065
What percentage relaxation in attendance may be allowed?,maximum 25%,sentence,1.0,0.2,1.0,0.0068
Who notifies the examination schedule?,Controller of Examinations,sentence,1.0,0.4,1.0,0.0084
What document is mandatory to appear in an examination?,valid Admit Card,sentence,1.0,0.2,1.0,0.0066
What is the fee for issuance of a Duplicate Admit Card?,"Rs. 1,000/-",sentence,1.0,0.2,1.0,0.0101
In which mode are examinations primarily conducted?,Physical Mode,sentence,1.0,0.2,1.0,0.0063
What electronic devices are prohibited during examinations?,"mobile phone, smart watch, laptop or any electronic device",sentence,1.0,0.2,1.0,0.0062
Which grade indicates Outstanding performance?,A+,sentence,1.0,0.2,1.0,0.007
What grade is awarded for Fail?,F,sentence,1.0,1.0,1.0,0.0085
What is the minimum SGPA required to pass an undergraduate certificate?,4.00,sentence,1.0,0.2,1.0,0.0082
What is the minimum CGPA required for First Division with Distinction in UG?,8.50 and above,sentence,1.0,0.2,1.0,0.0103
What is Amity University's approach to learning?,"multidisciplinary, holistic and inclusive education",sentence,0.0,0.0,0.0,0.0077
What kind of professionals does the curriculum aim to develop?,T-shaped Professionals,sentence,0.0,0.0,0.0,0.0042
Which regulatory bodies guide credit determination?,UGC / AICTE & other relevant Regulatory bodies,sentence,0.0,0.0,0.0,0.0091
What represents the quantum of syllabus in a course?,Credit,sentence,1.0,0.4,1.0,0.0062
What is the minimum teaching duration of a semester?,minimum of 15 weeks teaching,sentence,1.0,0.2,1.0,0.0094
How many assessment components are required for internal evaluation?,Minimum 3 assessment components,sentence,0.0,0.0,0.0,0.0059
What does NEP 2020 emphasize for higher education?,Multidisciplinary Approach,sentence,1.0,0.2,1.0,0.0082
What values must higher education develop according to NEP 2020?,ethical and Constitutional values,sentence,1.0,0.2,1.0,0.0051
What type of education integrates human values and service?,Value-based education,sentence,1.0,0.4,1.0,0.009
Which universal values are included in value-based education?,"truth (satya), righteous conduct (dharma), peace (shanti), love (prem), nonviolence (ahimsa)",sentence,0.0,0.0,0.0,0.0055
What type of learning improves employability through practice?,internships/apprenticeship,sentence,1.0,0.2,1.0,0.0117
Which framework guides multidisciplinary education at AUUP?,UGC Curriculum and Credit Framework for Under Graduate Programmes,sentence,0.0,0.0,0.0,0.0095
What does ABC digitally store?,academic credits earned,sentence,0.0,0.0,0.0,0.006
Can credits be transferred between institutions?,can be transferred / redeemed,sentence,0.0,0.0,0.0,0.0087
What is considered the most efficient structured training?,Apprenticeship/Internship,sentence,0.0,0.0,0.0,0.0057
Which skills are developed during apprenticeship?,"problem-solving, creative thinking, digital skills, teamwork",sentence,1.0,0.2,1.0,0.009
Which modes are allowed for pursuing two degrees?,full-time physical mode and Open and Distance learning (ODL) or Online mode,sentence,0.0,0.0,0.0,0.0069
What must students submit to exit a programme?,an undertaking giving the reasons for exit,sentence,0.0,0.0,0.0,0.0067
What is compulsory during exit to re-enter later?,4-6 credits skills-enhancement course(s),sentence,0.0,0.0,0.0,0.0058
What is the maximum time to complete a four year degree after re-entry?,within the maximum period of seven years,sentence,1.0,0.2,1.0,0.0069
What does lateral entry not allow?,not be allowed in the first year,sentence,0.0,0.0,0.0,0.0036
Which courses develop social and ethical values?,Human Value & Community Outreach (HVCO),sentence,1.0,0.2,1.0,0.0101
Which course credits are excluded from SGPA and CGPA?,Progressive Value-Added Course,sentence,0.0,0.0,0.0,0.0027
How is gender sensitization implemented?,amalgamation of theory and practice,sentence,0.0,0.0,0.0,0.0108
Which programme depends on MoUs with global universities?,Semester Abroad Programme,sentence,0.0,0.0,0.0,0.0084
Which countries are involved in the 3C Programme?,"Asia, Europe and America",sentence,0.0,0.0,0.0,0.008
Who should students consult for international programme details?,Programme Leader/ Head of Institution,sentence,0.0,0.0,0.0,0.0068
Which calendar plans yearly academic activities?,Block Academic Calendar,sentence,1.0,0.2,1.0,0.0046
